2015-03-18 12:44:40,930:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:44:40,934:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:45:40,049:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:45:40,051:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:45:53,513:ERROR:JuggleFest.parse_input_file@L182: Failed to open the inputfile.
2015-03-18 12:45:53,513:WARNING:JuggleFest.<module>@L309: A problem was encountered while processing inputfile.
2015-03-18 12:46:22,151:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:46:22,153:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:46:22,154:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:46:22,154:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:46:34,108:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:46:34,109:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:49:30,581:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:49:30,582:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:49:41,334:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:49:41,335:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:49:41,335:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:49:41,336:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:50:35,312:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:50:35,312:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:50:35,312:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:50:35,313:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:50:48,150:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:50:48,150:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:51:26,752:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:51:26,752:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:51:26,753:DEBUG:JuggleFest.parse_input_file@L185:0 circuits and 0 jugglers parsed from inputfile.
2015-03-18 12:52:02,892:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:52:02,894:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:52:02,894:DEBUG:JuggleFest.parse_input_file@L185:0 circuits and 0 jugglers parsed from inputfile.
2015-03-18 12:52:29,611:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:52:29,611:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:52:29,612:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #0: H:10, E:8, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,614:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #1: H:5, E:3, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,614:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #2: H:7, E:0, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,615:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #3: H:0, E:6, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,615:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #4: H:3, E:7, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,615:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #5: H:5, E:1, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,615:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #6: H:2, E:7, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,617:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #7: H:9, E:0, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,618:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #8: H:7, E:1, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,618:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #9: H:2, E:8, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,619:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #10: H:6, E:8, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,619:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #11: H:2, E:9, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,621:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #12: H:3, E:1, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,621:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #13: H:7, E:10, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,622:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #14: H:9, E:3, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,624:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #15: H:3, E:10, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,625:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #16: H:6, E:9, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,625:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #17: H:6, E:5, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,625:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #18: H:3, E:3, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,627:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #19: H:7, E:4, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,628:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #20: H:1, E:2, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,628:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #21: H:7, E:8, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,628:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #22: H:10, E:0, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,630:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #23: H:6, E:3, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,631:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #24: H:10, E:9, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,631:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #25: H:8, E:10, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,631:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #26: H:9, E:10, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,632:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #27: H:7, E:9, P:0, Max:0, Jugglers[0]: >
